거래일자,시간,지역,전력거래량(MWh)
2016-01-01,1,제주도,358.790149
2016-01-01,2,제주도,327.070356
2016-01-01,3,제주도,302.472403
2016-01-01,4,제주도,290.12143
2016-01-01,5,제주도,286.642114
2016-01-01,6,제주도,300.913025
2016-01-01,7,제주도,315.865748
2016-01-01,8,제주도,304.656664
2016-01-01,9,제주도,294.076311
2016-01-01,10,제주도,275.498334
2016-01-01,11,제주도,262.275738
2016-01-01,12,제주도,252.252845
2016-01-01,13,제주도,242.439321
2016-01-01,14,제주도,237.069244
2016-01-01,15,제주도,235.436822
2016-01-01,16,제주도,236.530579
2016-01-01,17,제주도,250.434665
2016-01-01,18,제주도,308.106485
2016-01-01,19,제주도,351.957595
2016-01-01,20,제주도,352.176424
2016-01-01,21,제주도,348.971268
2016-01-01,22,제주도,343.943139
2016-01-01,23,제주도,349.167042
2016-01-01,24,제주도,360.960776
2016-01-02,1,제주도,315.912536
2016-01-02,2,제주도,282.921016
2016-01-02,3,제주도,260.908672
2016-01-02,4,제주도,250.506579
2016-01-02,5,제주도,254.509648
2016-01-02,6,제주도,270.024808
2016-01-02,7,제주도,285.291881
2016-01-02,8,제주도,289.632641
2016-01-02,9,제주도,295.451129
2016-01-02,10,제주도,268.54226
2016-01-02,11,제주도,266.968115
2016-01-02,12,제주도,264.547577
2016-01-02,13,제주도,254.214054
2016-01-02,14,제주도,255.960672
2016-01-02,15,제주도,256.170184
2016-01-02,16,제주도,256.650994
2016-01-02,17,제주도,266.852507
2016-01-02,18,제주도,303.32959
2016-01-02,19,제주도,336.731398
2016-01-02,20,제주도,338.369431
2016-01-02,21,제주도,340.864491
2016-01-02,22,제주도,338.600874
2016-01-02,23,제주도,341.341016
2016-01-02,24,제주도,345.669921
2016-01-03,1,제주도,308.806489
2016-01-03,2,제주도,280.482334
2016-01-03,3,제주도,260.202021
2016-01-03,4,제주도,243.709215
2016-01-03,5,제주도,242.882184
2016-01-03,6,제주도,257.757157
2016-01-03,7,제주도,274.302257
2016-01-03,8,제주도,271.799438
2016-01-03,9,제주도,268.400014
2016-01-03,10,제주도,242.35011
2016-01-03,11,제주도,238.810441
2016-01-03,12,제주도,233.737367
2016-01-03,13,제주도,225.499611
2016-01-03,14,제주도,223.200672
2016-01-03,15,제주도,224.642549
2016-01-03,16,제주도,214.451344
2016-01-03,17,제주도,223.799436
2016-01-03,18,제주도,268.707928
2016-01-03,19,제주도,332.433123
2016-01-03,20,제주도,341.868769
2016-01-03,21,제주도,343.752486
2016-01-03,22,제주도,334.926837
