거래일자,시간,지역,전력거래량(MWh)
2015-01-01,1,제주도,354.010954
2015-01-01,2,제주도,326.813836
2015-01-01,3,제주도,306.402168
2015-01-01,4,제주도,296.857976
2015-01-01,5,제주도,300.938429
2015-01-01,6,제주도,315.868928
2015-01-01,7,제주도,326.672017
2015-01-01,8,제주도,326.073924
2015-01-01,9,제주도,324.472549
2015-01-01,10,제주도,314.224673
2015-01-01,11,제주도,313.145016
2015-01-01,12,제주도,319.751666
2015-01-01,13,제주도,312.247
2015-01-01,14,제주도,318.613498
2015-01-01,15,제주도,323.72667
2015-01-01,16,제주도,343.640067
2015-01-01,17,제주도,360.769915
2015-01-01,18,제주도,368.425415
2015-01-01,19,제주도,394.055318
2015-01-01,20,제주도,391.582875
2015-01-01,21,제주도,380.927888
2015-01-01,22,제주도,370.54641
2015-01-01,23,제주도,373.52975
2015-01-01,24,제주도,381.686428
2015-01-02,1,제주도,352.469391
2015-01-02,2,제주도,322.478154
2015-01-02,3,제주도,304.725041
2015-01-02,4,제주도,297.595995
2015-01-02,5,제주도,300.933277
2015-01-02,6,제주도,313.146735
2015-01-02,7,제주도,328.817076
2015-01-02,8,제주도,349.805947
2015-01-02,9,제주도,377.797362
2015-01-02,10,제주도,374.317134
2015-01-02,11,제주도,366.085242
2015-01-02,12,제주도,357.880811
2015-01-02,13,제주도,339.373599
2015-01-02,14,제주도,358.419842
2015-01-02,15,제주도,355.227076
2015-01-02,16,제주도,347.768075
2015-01-02,17,제주도,369.337682
2015-01-02,18,제주도,410.894378
2015-01-02,19,제주도,440.243275
2015-01-02,20,제주도,430.738136
2015-01-02,21,제주도,420.607289
2015-01-02,22,제주도,406.722708
2015-01-02,23,제주도,403.146784
2015-01-02,24,제주도,409.561861
2015-01-03,1,제주도,372.844186
2015-01-03,2,제주도,340.086344
2015-01-03,3,제주도,323.556855
2015-01-03,4,제주도,312.007437
2015-01-03,5,제주도,312.774671
2015-01-03,6,제주도,322.4474
2015-01-03,7,제주도,336.651893
2015-01-03,8,제주도,342.225064
2015-01-03,9,제주도,348.658705
2015-01-03,10,제주도,327.534509
2015-01-03,11,제주도,320.173719
2015-01-03,12,제주도,310.790632
2015-01-03,13,제주도,288.092218
2015-01-03,14,제주도,285.528784
2015-01-03,15,제주도,278.021992
2015-01-03,16,제주도,274.821505
2015-01-03,17,제주도,290.344316
2015-01-03,18,제주도,342.868734
