date,wti_crude,brent_crude,natural_gas,heating_oil
2022-08-24,94.88999938964844,101.22000122070312,9.329999923706055,4.013199806213379
2022-08-25,92.5199966430664,99.33999633789062,9.375,3.9491000175476074
2022-08-26,93.05999755859375,100.98999786376953,9.295999526977539,4.007599830627441
2022-08-29,97.01000213623047,105.08999633789062,9.352999687194824,3.909899950027466
2022-08-30,91.63999938964844,99.30999755859375,9.041999816894531,3.8171000480651855
2022-08-31,89.55000305175781,96.48999786376953,9.126999855041504,3.715399980545044
2022-09-01,86.61000061035156,92.36000061035156,9.26200008392334,3.561199903488159
2022-09-02,86.87000274658203,93.0199966430664,8.78600025177002,3.578000068664551
2022-09-06,86.87999725341797,92.83000183105469,8.145000457763672,3.5738000869750977
2022-09-07,81.94000244140625,88.0,7.8420000076293945,3.5859999656677246
2022-09-08,83.54000091552734,89.1500015258789,7.914999961853027,3.54010009765625
2022-09-09,86.79000091552734,92.83999633789062,7.995999813079834,3.578700065612793
2022-09-12,87.77999877929688,94.0,8.24899959564209,3.603100061416626
2022-09-13,87.30999755859375,93.16999816894531,8.284000396728516,3.541300058364868
2022-09-14,88.4800033569336,94.0999984741211,9.11400032043457,3.3789000511169434
2022-09-15,85.0999984741211,90.83999633789062,8.324000358581543,3.205199956893921
2022-09-16,85.11000061035156,91.3499984741211,7.763999938964844,3.172499895095825
2022-09-19,85.7300033569336,92.0,7.751999855041504,3.310800075531006
2022-09-20,84.44999694824219,90.62000274658203,7.7170000076293945,3.3722000122070312
2022-09-21,82.94000244140625,89.83000183105469,7.7789998054504395,3.3338000774383545
2022-09-22,83.48999786376953,90.45999908447266,7.089000225067139,3.4114999771118164
2022-09-23,78.73999786376953,86.1500015258789,6.828000068664551,3.2370998859405518
2022-09-26,76.70999908447266,84.05999755859375,6.9029998779296875,3.1291000843048096
2022-09-27,78.5,86.2699966430664,6.651000022888184,3.2599000930786133
2022-09-28,82.1500015258789,89.31999969482422,6.868000030517578,3.449399948120117
2022-09-29,81.2300033569336,88.48999786376953,6.874000072479248,3.414599895477295
2022-09-30,79.48999786376953,87.95999908447266,6.765999794006348,3.36899995803833
2022-10-03,83.62999725341797,88.86000061035156,6.46999979019165,3.3691000938415527
2022-10-04,86.5199966430664,91.80000305175781,6.836999893188477,3.535799980163574
2022-10-05,87.76000213623047,93.37000274658203,6.929999828338623,3.6868999004364014
2022-10-06,88.44999694824219,94.41999816894531,6.9720001220703125,3.8649001121520996
2022-10-07,92.63999938964844,97.91999816894531,6.748000144958496,4.018700122833252
2022-10-10,91.12999725341797,96.19000244140625,6.434999942779541,3.9147000312805176
2022-10-11,89.3499984741211,94.29000091552734,6.5960001945495605,3.930799961090088
2022-10-12,87.2699966430664,92.44999694824219,6.434999942779541,3.932800054550171
2022-10-13,89.11000061035156,94.56999969482422,6.741000175476074,4.094799995422363
2022-10-14,85.61000061035156,91.62999725341797,6.453000068664551,3.9802000522613525
2022-10-17,85.45999908447266,91.62000274658203,5.999000072479248,4.08519983291626
2022-10-18,82.81999969482422,90.02999877929688,5.744999885559082,3.993499994277954
2022-10-19,85.55000305175781,92.41000366210938,5.461999893188477,3.9042999744415283
2022-10-20,85.9800033569336,92.37999725341797,5.357999801635742,3.7567999362945557
2022-10-21,85.05000305175781,93.5,4.959000110626221,3.8322999477386475
