horizon,demand_only_MAPE,weather_full_MAPE,MAPE_improvement_%,demand_only_R2,weather_full_R2,R2_improvement_%
1,4.992055669426918,5.351153463125229,-7.193385199959816,0.906169293820858,0.8947259888052941,-1.2628219796891664
24,10.340761542320251,10.626524090766907,-2.7634574811260575,0.6353992402553559,0.6143260180950165,-3.3165324767889857
48,11.379388272762299,11.4621202647686,-0.7270337387496405,0.5713086307048798,0.5641274750232697,-1.2569660767683577
168,12.632826268672943,12.621149122714996,0.09243494456109101,0.4482913017272949,0.42456347942352296,-5.292947289485019
