MAPE,R2,RMSE,MAE,trial,horizon,group,n_features
4.302816465497017,0.9342628344893456,26.459955,20.451431,1,1,demand_only,17
5.241372436285019,0.8984985053539276,32.879097,25.57279,2,1,demand_only,17
4.914867132902145,0.9109091237187386,30.803513,24.004856,3,1,demand_only,17
5.3789544850587845,0.8901557475328445,34.20364,26.513266,4,1,demand_only,17
5.1222678273916245,0.8970202580094337,33.117653,25.311142,5,1,demand_only,17
5.3555358201265335,0.8880985528230667,34.522438,27.048798,1,1,weather_full,51
5.144954472780228,0.9103823006153107,30.894453,24.35363,2,1,weather_full,51
5.175779387354851,0.9046406671404839,31.868765,25.083923,3,1,weather_full,51
5.726109445095062,0.8727757632732391,36.810234,28.481245,4,1,weather_full,51
5.35338819026947,0.8977326601743698,33.002903,26.18174,5,1,weather_full,51
9.99462828040123,0.6588184237480164,60.315754,48.10352,1,24,demand_only,17
10.768084228038788,0.6005799174308777,65.26089,52.678154,2,24,demand_only,17
10.154227167367935,0.6433694362640381,61.666214,49.209347,3,24,demand_only,17
10.554241389036179,0.6367074847221375,62.239517,50.103317,4,24,demand_only,17
10.232626646757126,0.6375209391117096,62.169796,49.774574,5,24,demand_only,17
10.031051188707352,0.6647910177707672,59.785492,48.004295,1,24,weather_full,51
10.912584513425827,0.5990498960018158,65.38576,52.899372,2,24,weather_full,51
10.3969044983387,0.629041463136673,62.892765,50.674335,3,24,weather_full,51
10.690994560718536,0.6111508309841156,64.3915,51.766922,4,24,weather_full,51
11.10108569264412,0.5675968825817108,67.90198,54.827938,5,24,weather_full,51
11.663542687892914,0.5417107045650482,69.94641,56.43451,1,48,demand_only,17
11.270647495985031,0.5999423861503601,65.35169,53.051296,2,48,demand_only,17
11.499286442995071,0.5632703006267548,68.28133,55.198605,3,48,demand_only,17
11.406056582927704,0.5493844747543335,69.35834,56.24274,4,48,demand_only,17
11.057408154010773,0.6022352874279022,65.16415,52.74684,5,48,demand_only,17
11.642638593912125,0.5276550054550171,71.01094,57.657642,1,48,weather_full,51
11.13726869225502,0.6129608154296875,64.27958,52.37063,2,48,weather_full,51
11.739185452461243,0.5488742291927338,69.39759,56.572037,3,48,weather_full,51
11.309131234884262,0.572354644536972,67.56744,55.000183,4,48,weather_full,51
11.482377350330353,0.5587926805019379,68.63046,55.713543,5,48,weather_full,51
12.374825030565262,0.45946669578552246,75.6834,60.540497,1,168,demand_only,17
13.480791449546814,0.3073079586029053,85.67607,68.91505,2,168,demand_only,17
12.089207768440247,0.5101442933082581,72.04826,58.347687,3,168,demand_only,17
12.765370309352875,0.47967684268951416,74.25506,60.521103,4,168,demand_only,17
12.453936785459518,0.48486071825027466,73.88424,59.583336,5,168,demand_only,17
12.544237077236176,0.44796597957611084,76.484314,61.261524,1,168,weather_full,51
12.364604324102402,0.45065826177597046,76.29758,61.160213,2,168,weather_full,51
12.166409939527512,0.47099149227142334,74.87223,60.186707,3,168,weather_full,51
13.45246285200119,0.3186643719673157,84.970856,68.2145,4,168,weather_full,51
12.578031420707703,0.43453729152679443,77.409,62.431248,5,168,weather_full,51
